Code ISO 3,?????,????,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
HKG,????? ???? ???? ???????? ?????? ??????? ?????,?????????,"Hong Kong SAR, China","Hong Kong, Región Administrativa Especial","Chine, RAS de Hong Kong",,,,
HND,???????,????,Honduras,Honduras,Honduras,50720,49520,50720,49520
HPC,??????? ??????? ??????? ???????,???? (HIPC),Heavily indebted poor countries (HIPC),Países pobres muy endeudados (PPME),Pays pauvres très endettés (PPTE),"5912826,1",5334266,5912826.1,5334266
HRV,???????,????,Croatia,Croacia,Croatie,19234,19268,19234,19268
HTI,?????,??,Haiti,Haití,Haïti,1002,994,1002,994
HUN,???????,???,Hungary,Hungría,Hongrie,20382,20474,20382,20474
IDN,?????????,?????,Indonesia,Indonesia,Indonésie,937470,930620,937470,930620
IMN,????? ???,???,Isle of Man,Isla de Man,Île de Man,"34,6","34,6",34.6,34.6
IND,?????,??,India,India,Inde,685790,687240,685790,687240
INX,??? ?????,?????,Not classified,No clasificado,Non classifié,,,,
IRL,???????,???,Ireland,Irlanda,Irlande,7478,7566,7478,7566
IRN,??????? ????? ?????????,????????,"Iran, Islamic Rep.","Irán, República Islámica del","Iran, République islamique d'",110750,110750,110750,110750
IRQ,??????,???,Iraq,Iraq,Iraq,8250,8250,8250,8250
ISL,???????,??,Iceland,Islandia,Islande,308,317,308,317
ISR,???????,???,Israel,Israel,Israël,1538,1536,1538,1536
ITA,???????,???,Italy,Italia,Italie,92270,93050,92270,93050
JAM,???????,???,Jamaica,Jamaica,Jamaïque,"3366,8","3362,6",3366.8,3362.6
JOR,??????,??,Jordan,Jordania,Jordanie,975,975,975,975
JPN,???????,??,Japan,Japón,Japon,249878,249966,249878,249966
KAZ,?????????,?????,Kazakhstan,Kazajstán,Kazakhstan,33034,32978,33034,32978
KEN,?????,???,Kenya,Kenya,Kenya,34560,34450,34560,34450
KGZ,??????? ??????,??????,Kyrgyz Republic,Kirguistán,République kirghize,9707,9876,9707,9876
KHM,???????,???,Cambodia,Camboya,Cambodge,99666,98392,99666,98392
KIR,????????,????,Kiribati,Kiribati,Kiribati,"121,5","121,5",121.5,121.5
KNA,???? ???? ?????,???????,St. Kitts and Nevis,Saint Kitts y Nevis,Saint-Kitts-et-Nevis,110,110,110,110
KOR,??????? ?????,????,"Korea, Rep.","Corea, República de","Corée, République de",62154,62088,62154,62088
KSV,??????,???,Kosovo,Kosovo,Kosovo,,,,
KWT,??????,???,Kuwait,Kuwait,Koweït,"63,9","65,3",63.9,65.3
LAC,?????? ????????? ?????? ????????,????&??????,Latin America & Caribbean (developing only),América Latina y el Caribe (países en desarrollo solamente),Amérique latine et Caraïbes,"8488314,4","8453274,1",8488314.4,8453274.1
LAO,??????? ??? ??????????? ???????,??,Lao PDR,República Democrática Popular Lao,République démocratique populaire lao,156728,155946,156728,155946
LBN,?????,???,Lebanon,Líbano,Liban,"1369,8","1370,6",1369.8,1370.6
LBR,???????,????,Liberia,Liberia,Libéria,42990,42690,42990,42690
LBY,?????,???,Libya,Libia,Libye,2170,2170,2170,2170
LCA,???? ?????,????,St. Lucia,Santa Lucía,Sainte-Lucie,470,470,470,470
LCN,?????? ????????? ?????? ???????? (???? ??????? ?????),???????????(??????),Latin America & Caribbean (all income levels),América Latina y el Caribe (todos los niveles de ingreso),Amérique latine et Caraïbes (tous niveaux de revenu),9434347,"9394935,5",9434347,9394935.5
LDC,??? ??????? ???????: ????? ????? ???????,??????:?????,Least developed countries: UN classification,Países menos desarrollados: clasificación de las Naciones Unidas,Pays les moins avancés : classement de l'ONU,"5979681,5","5254777,5",5979681.5,5254777.5
LIC,????? ??????? ?????? ?????,?????,Low income,Países de ingreso bajo,Faible revenu,"3899359,9",3728116,3899359.9,3728116
LIE,??????????,?????,Liechtenstein,Liechtenstein,Liechtenstein,69,69,69,69
LKA,??? ?????,????,Sri Lanka,Sri Lanka,Sri Lanka,18454,18308,18454,18308
LMC,??????? ?????? ?? ??????? ?????? ?????,???????,Lower middle income,Países de ingreso mediano bajo,"Revenu intermédiaire, tranche inférieure","5628371,2","5053452,7",5628371.2,5053452.7
LMY,??????? ???????? ????????? ?????,??????,Low & middle income,Ingreso mediano y bajo,Revenu faible et intermédiaire,"21475888,7","20726250,6",21475888.7,20726250.6
LSO,??????,???,Lesotho,Lesotho,Lesotho,442,444,442,444
LTU,????????,???,Lithuania,Lituania,Lituanie,21678,21756,21678,21756
LUX,????????,???,Luxembourg,Luxemburgo,Luxembourg,"867,5","867,5",867.5,867.5
LVA,??????,????,Latvia,Letonia,Lettonie,33654,33768,33654,33768
MAC,????? ????? ???????? ?????? (?????),?????????,"Macao SAR, China","Región Administrativa Especial de Macao, China","Région administrative spéciale de Macao, Chine",,,,
MAF,???? ?????- ????? ???????,???(??),St. Martin (French part),Isla de San Martín (parte francesa),Saint-Martin (fr),,,,
MAR,??????,???,Morocco,Marruecos,Maroc,51410,51510,51410,51510
MCO,??????,???,Monaco,Mónaco,Monaco,,,,
MDA,???????,????,Moldova,República de Moldova,Moldova,3906,3952,3906,3952
MDG,??????,?????,Madagascar,Madagascar,Madagascar,124960,124390,124960,124390
MDV,?????,????,Maldives,Maldivas,Maldives,9,9,9,9
