Code ISO 3,البلد,国家名称,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
GUM,غوام,关岛,Guam,Guam,Guam,"258,8","258,8",258.8,258.8
GUY,غيانا,圭亚那,Guyana,Guyana,Guyane,152050,152050,152050,152050
HIC,البلدان مرتفعة الدخل,高收入国家,High income,Ingreso alto,Revenu élevé,18708275,"18703866,6",18708275,18703866.6
HKG,منطقة هونغ كونغ الإدارية الخاصة الخاضعة للصين,中国香港特别行政区,"Hong Kong SAR, China","Hong Kong, Región Administrativa Especial","Chine, RAS de Hong Kong",,,,
HND,ھندوراس,洪都拉斯,Honduras,Honduras,Honduras,50720,49520,50720,49520
HPC,البلدان الفقيرة المثقلة بالديون,重债穷国 (HIPC),Heavily indebted poor countries (HIPC),Países pobres muy endeudados (PPME),Pays pauvres très endettés (PPTE),"5912826,1",5334266,5912826.1,5334266
HRV,كرواتيا,克罗地亚,Croatia,Croacia,Croatie,19234,19268,19234,19268
HTI,ھايتي,海地,Haiti,Haití,Haïti,1002,994,1002,994
HUN,ھنغاريا,匈牙利,Hungary,Hungría,Hongrie,20382,20474,20382,20474
IDN,إندونيسيا,印度尼西亚,Indonesia,Indonesia,Indonésie,937470,930620,937470,930620
IMN,جزيرة مان,马恩岛,Isle of Man,Isla de Man,Île de Man,"34,6","34,6",34.6,34.6
IND,الهند,印度,India,India,Inde,685790,687240,685790,687240
INX,غير مصنفة,未分类国家,Not classified,No clasificado,Non classifié,,,,
IRL,أيرلندا,爱尔兰,Ireland,Irlanda,Irlande,7478,7566,7478,7566
IRN,جمهورية إيران الإسلامية,伊朗伊斯兰共和国,"Iran, Islamic Rep.","Irán, República Islámica del","Iran, République islamique d’",110750,110750,110750,110750
IRQ,العراق,伊拉克,Iraq,Iraq,Iraq,8250,8250,8250,8250
ISL,أيسلندا,冰岛,Iceland,Islandia,Islande,308,317,308,317
ISR,إسرائيل,以色列,Israel,Israel,Israël,1538,1536,1538,1536
ITA,إيطاليا,意大利,Italy,Italia,Italie,92270,93050,92270,93050
JAM,جامايكا,牙买加,Jamaica,Jamaica,Jamaïque,"3366,8","3362,6",3366.8,3362.6
JOR,الأردن,约旦,Jordan,Jordania,Jordanie,975,975,975,975
JPN,اليابان,日本,Japan,Japón,Japon,249878,249966,249878,249966
KAZ,كازاخستان,哈萨克斯坦,Kazakhstan,Kazajstán,Kazakhstan,33034,32978,33034,32978
KEN,كينيا,肯尼亚,Kenya,Kenya,Kenya,34560,34450,34560,34450
KGZ,جمهورية قيرغيز,吉尔吉斯斯坦,Kyrgyz Republic,Kirguistán,République kirghize,9707,9876,9707,9876
KHM,كمبوديا,柬埔寨,Cambodia,Camboya,Cambodge,99666,98392,99666,98392
KIR,كيريباتي,基里巴斯,Kiribati,Kiribati,Kiribati,"121,5","121,5",121.5,121.5
KNA,سانت كيتس ونيفس,圣基茨和尼维斯,St. Kitts and Nevis,Saint Kitts y Nevis,Saint-Kitts-et-Nevis,110,110,110,110
KOR,جمهورية كوريا,大韩民国,"Korea, Rep.","Corea, República de","Corée, République de",62154,62088,62154,62088
KSV,كوسوفو,科索沃,Kosovo,Kosovo,Kosovo,,,,
KWT,الكويت,科威特,Kuwait,Kuwait,Koweït,"63,9","65,3",63.9,65.3
LAC,أمريكا اللاتينية والبحر الكاريبي,拉丁美洲&加勒比海地区,Latin America & Caribbean (developing only),América Latina y el Caribe (países en desarrollo solamente),Amérique latine et Caraïbes,"8488314,4","8453274,1",8488314.4,8453274.1
LAO,جمهورية لاو الديمقراطية الشعبية,老挝,Lao PDR,República Democrática Popular Lao,République démocratique populaire lao,156728,155946,156728,155946
LBN,لبنان,黎巴嫩,Lebanon,Líbano,Liban,"1369,8","1370,6",1369.8,1370.6
LBR,ليبيريا,利比里亚,Liberia,Liberia,Libéria,42990,42690,42990,42690
LBY,ليبيا,利比亚,Libya,Libia,Libye,2170,2170,2170,2170
