ID,Name
920230401,JARDIN PARISIEN 1
920230302,LA GARE 2
920230502,PETIT CLAMART 2
920230504,PETIT CLAMART 4
920230202,PERCY 2
920230102,CENTRE VILLE 2
920230304,LA GARE 4
920230505,PETIT CLAMART 5
920230301,LA GARE 1
920230507,PETIT CLAMART 7
920230402,JARDIN PARISIEN 2
920230105,CENTRE VILLE 5
920230104,CENTRE VILLE 4
920230103,CENTRE VILLE 3
920230501,PETIT CLAMART 1
920230303,LA GARE 3
920240404,SANZILLON
920240203,RUE DU PORT
920240303,BATELIERS
920240402,MAISON DU PEUPLE
920240202,BAC D'ASNIERES-BEREGOVOY
920240301,QUARTIER NORD
920240503,CHANCE-MILLY
920240405,MOREL
920240104,S.N.C.F
920240201,TEINTURIERS
920240602,GAMBETTA
920240101,VENDOME
920240302,GABRIEL PERI
920240103,CENTRE-VILLE
920240403,KLOCK
920240501,ENTREE DE VILLE
920240601,PALLOY-PAYMAL
920240102,PASTEUR-GESNOUIN
920240504,CITE NOUVELLE
920240304,BERGES DE SEINE-BEAUJON
920240401,MOZART
920240502,CALMETTE
920250107,CERISIERS
920250110,WIENER-GARAMONT
920250403,JEANNE GLEUZER-GROS GRES
920250201,FOSSES JEAN NORD-STALINGRAD-TOUR Z
920250203,FOSSES JEAN SUD
920250111,LEON BOURGEOIS
920250102,MARCEAU-CHAMPARONS
920250304,GABRIEL PERI-ILOT26
920250104,VICTOR HUGO
920250101,SAINT-DENIS
920250206,STADE BERTHELOT
920250108,LES VALLEES
920250210,STRASBOURG
920250205,GARE DU STADE
920250204,ROUSSEAU-SOLFERINO
920250202,FOSS. JEAN NORD-GYMNASE-PARC CAILLEBOTTE
920250402,CANIBOUTS-CHAMPY
920250303,SALVADOR ALLENDE-EGALITE
920250302,ARAGON PAVILLONNAIRE
920250306,MOSLARD-AGRICULTURE
920250209,GAGARINE
920250211,MUSICIENS-PAUL BERT
920250301,LES GREVES
920250212,JEANNE D'ARC-SALLE DES FETES
920250207,AUDRA-PAUL BERT
920250305,CIMETIERE-ILOT 1
920250105,MONTS CLAIRS
920250106,MAIRIE-FORUM
920250109,HENRI BARBUSSE SUD
920250208,USINE DES EAUX-ILE MARANTE
920250103,AGENT SARRE
920250401,CHARLES DE GAULLE SUD-VICTOR BASCH
920250113,CENTRE VILLE-EGLISE ST-PIERRE ST-PAUL
920260202,VILLEBOIS-MAREUIL
920260203,FRANKLIN
920260303,BERTALOT
920260406,ARCHE
920260305,FALLET
920260402,GAULTIER
920260502,SEGOFFIN
920260301,QUINET
920260302,VIGNY
920260405,ETUDIANTS
920260603,PARMENTIER
920260103,JEAN BLOT
920260503,ESSLING
920260201,DUBONNET
920260702,HOTEL DE VILLE
920260504,ARLETTY
920260403,SCHWEITZER
920260602,KRUGER
920260101,BLONDEL
920260102,D'ESTIENNE D'ORVES
920260501,REGNAULT
920260601,VISIEN
920260703,CAROLE HUBERT
920260505,DIDEROT
920260701,DE GAULLE
920260204,CHARCOT
920260506,DOMINOS
920260404,FAUVELLES
920260704,MONTAGNE
920260705,SAINTE-MARIE
920260304,LALYRE
920320107,PERVENCHES
920320103,PARADIS-BLAGIS
920320110,RENARDS
920320101,SCARRON
920320111,RER-LOMBART
920320108,VAL CONTENT
920320105,PARC
920320104,GARE-LA ROUE
920320109,ORMEAUX
920320102,BUFFETS-FAUVETTES
920320106,PIERRELAIS
920330104,COTE SAINT-LOUIS
920330106,PETIT GARCHES
920330102,LA VERBOISE
920330101,BUZENVAL
920330108,POINCARE
920330107,PORTE JAUNE
920330105,MAIRIE
920330103,LES BURES
920350104,MEDERIC
920350103,GENERAL LECLERC
920350112,MOULIN BAILLY
920350110,CHATEAU RIDEL
920350102,CHAMPS PHILIPPE SUD
920350106,VALLEES
920350111,PLAISANCE
920350101,ZAC DE CHARLEBOURG
920350109,CHEDAL ANGLAY
920350108,SOUVENIR FRANCAIS
920350105,SARTORIS
920360401,GRESILLONS 1
920360504,VILLAGE CHANDON 4
920360303,AGNETTES 3
920360101,LUTH 1
920360501,VILLAGE CHANDON 1
920360404,GRESILLONS 4
920360104,LUTH 4
920360402,GRESILLONS 2
920360201,FOSSE DE L'AUMONE 1
920360202,FOSSE DE L'AUMONE 2
920360302,AGNETTES 2
920360204,FOSSE DE L'AUMONE 4
920360502,VILLAGE CHANDON 2
920360403,GRESILLONS 3
920360102,LUTH 2
920360301,AGNETTES 1
920360503,VILLAGE CHANDON 3
920360103,LUTH 3
920360203,FOSSE DE L'AUMONE 3
920400403,VERDI
920400402,FORT GARDES MOBILES
920400203,PALAIS DES CONGRES MAIL MENAND
920400601,FORUM SEINE
920400501,CHEMINS DES VIGNES
920400101,LES VARENNES FOUCHER LEPELLETIER
920400103,CORENTIN CELTON
920400401,PARC HENRI BARBUSSE
920400204,TRAVAILLEURS
920400504,COLOMBIERS 1
920400102,MATRAT VOISEMBERT
920400404,EPINETTES
920400505,COLOMBIERS 2
920400202,ESPACES JEUNES
920400701,LE PETIT PONT AMPHIBIE
920400502,LA FERME
920400301,JULES GUESDE MONTESY
920400201,PARC JEAN PAUL II
920440114,VILLIERS-L. MICHEL 1
920440110,WILSON-RIVAY 2
920440121,EIFFEL 4
920440118,EIFFEL 1
920440113,TREZEL 3
920440109,WILSON-RIVAY 1
920440120,EIFFEL 3
920440123,ILE DE LA JATTE-SQUARE BAUDIN
920440104,MAURICE RAVEL
920440116,HENRI BARBUSSE 1
920440108,HOTEL DE VILLE-PLANCHETTE 2
920440112,TREZEL 2
920440126,SQUARE GIRAULT
920440124,VILLIERS-CERDAN
920440105,VILLIERS-DANTON 1
920440111,TREZEL 1
920440115,VILLIERS-L. MICHEL 2
920440125,GEORGES POMPIDOU
920440122,EIFFEL 5
920440106,VILLIERS-DANTON 2
920440107,HOTEL DE VILLE-PLANCHETTE 1
920440117,HENRI BARBUSSE 2
920440103,FRONT DE SEINE 2
920440119,EIFFEL 2
920460107,LES NOUZEAUX
920460103,PETIT VANVES
920460101,RENOVATION
920460109,LE FORT
920460106,LES FOSSES ROUGES
920460104,LES PIERRES PLATES
