Country Name,"1960 - CO2 emissions (kt)","1960 - CO2 emissions (metric tons per capita)","1970 - CO2 emissions (kt)","1970 - CO2 emissions (metric tons per capita)","1980 - CO2 emissions (kt)","1980 - CO2 emissions (metric tons per capita)","1990 - CO2 emissions (kt)","1990 - CO2 emissions (metric tons per capita)","2000 - CO2 emissions (kt)","2000 - CO2 emissions (metric tons per capita)","2005 - CO2 emissions (kt)","2005 - CO2 emissions (metric tons per capita)","2010 - CO2 emissions (kt)","2010 - CO2 emissions (metric tons per capita)","2011 - CO2 emissions (kt)","2011 - CO2 emissions (metric tons per capita)","2012 - CO2 emissions (kt)","2012 - CO2 emissions (metric tons per capita)","2013 - CO2 emissions (kt)","2013 - CO2 emissions (metric tons per capita)"
Bermuda,"157.681","3.55137387387387","227.354","4.13370909090909","436.373","7.98194622279129","594.054","10.0133836766342","465.709","7.53172254297867","396.036","6.1732082177261","572.052","8.78404274921688","396.036","6.13400656712719","443.707","6.84754159078984","363.033","5.58503715327457"
Bhutan,"","","3.667","0.0125816158129673","22.002","0.053330295398741","128.345","0.239670964790245","396.036","0.701958747720171","396.036","0.608197947364945","487.711","0.677145031003296","733.4","1.00157597310194","817.741","1.09954135410126","883.747","1.17108888114418"
Bolivia,"1004.758","0.272037722985901","2486.226","0.551786663068321","4668.091","0.835142833834147","5471.164","0.797982452788304","10223.596","1.22592257196824","12185.441","1.33533152775137","15203.382","1.53287018015788","16145.801","1.60204601240812","18793.375","1.83551243792951","19702.791","1.89451170397188"
Bosnia and Herzegovina,"","","","","","","","","13787.92","3.63521315476005","16204.473","4.2272056727006","21275.934","5.54745834569669","23886.838","6.23301298694521","22258.69","5.81406841832098","21906.658","5.72942825392118"
Botswana,"","","","","986.423","0.990055513679691","2702.579","1.95865457228293","3780.677","2.17708321936405","4096.039","2.19744227879462","4796.436","2.34220304312221","4400.4","2.10575076111185","4448.071","2.08553315747868","5423.493","2.49183003983441"
Brazil,"46908.264","0.64706779227431","93761.523","0.976861083139853","187090.34","1.53102100781392","208886.988","1.38893957419322","327983.814","1.86580837597139","347308.904","1.84269049471974","419754.156","2.11341454484465","439412.943","2.19139356376845","470028.726","2.32225814003511","503677.118","2.46587023517652"
British Virgin Islands,"","","18.335","1.87053662517854","29.336","2.66618195037717","66.006","4.01032869554651","102.676","4.97388945405222","132.012","5.69778583452026","172.349","6.33100686919149","176.016","6.30746076112664","176.016","6.1736172003788","176.016","6.0574024365063"
Brunei Darussalam,"333.697","4.0781790406355","8210.413","63.288956208712","6882.959","35.6524705138897","6193.563","24.1051883910189","4712.095","14.2551443939568","5005.455","13.8314648966948","8203.079","20.8569470788351","9695.548","24.2726696925469","9651.544","23.8008838209473","7785.041","18.9187361330161"
Bulgaria,"22295.36","2.83390112126359","61238.9","7.21342437205919","77487.377","8.74423866745434","75763.887","8.69022430892117","43530.957","5.32803434248386","47916.689","6.19086667786405","44117.677","5.96539604161881","49343.152","6.71488153495598","44873.079","6.14204310276862","39563.263","5.44564855477167"
Burkina Faso,"44.004","0.00911189654961774","143.013","0.0254263549904109","432.706","0.063420217973747","583.053","0.0661730582554849","1041.428","0.0897168352983095","1125.769","0.0838753505550506","1961.845","0.125501325288673","2211.201","0.137283259154753","2629.239","0.15847559730798","3058.278","0.179008360417252"
