Country Name,Country Code,2015 Urban Pop %,Urban Agglo,Latitude,Longitude,2015 Agglo Pop
Îles Salomon,SLB,"22,33",,,,
Sierra Leone,SLE,"39,94",,,,
El Salvador,SLV,"66,73",,,,
Saint-Marin,SMR,"94,19",,,,
Somalie,SOM,"39,55",,,,
Serbie,SRB,"55,55",,,,
Afrique subsaharienne (hors revenu élevé),SSA,"37,74",,,,
Soudan du Sud,SSD,"18,8",,,,
Afrique subsaharienne,SSF,"37,74",,,,
Petits états,SST,"53,89",,,,
Sao Tomé-et-Principe,STP,"65,09",,,,
Suriname,SUR,"66,04",,,,
République slovaque,SVK,"53,6",,,,
Slovénie,SVN,"49,65",,,,
Suède,SWE,"85,82",,,,
Swaziland,SWZ,"21,31",,,,
Sint Maarten (Dutch part),SXM,100,,,,
Seychelles,SYC,"53,89",,,,
République arabe syrienne,SYR,"57,66",,,,
Îles Turques-et-Caïques,TCA,"92,19",,,,
Tchad,TCD,"22,47",,,,
Asie de l’Est et Pacifique (BIRD et IDA),TEA,"52,84",,,,
Europe et Asie centrale (BIRD et IDA),TEC,"64,65",,,,
Togo,TGO,"39,96",,,,
Thaïlande,THA,"50,37",,,,
Tadjikistan,TJK,"26,78",,,,
Turkménistan,TKM,"50,04",,,,
Amérique latine et Caraïbes (BIRD et IDA),TLA,"79,88",,,,
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,"60,33",,,,
Timor-Leste,TLS,"32,77",,,,
Tonga,TON,"23,71",,,,
Asie du Sud (BIRD et IDA),TSA,"33,03",,,,
Afrique subsaharienne (BIRD et IDA),TSS,"37,74",,,,
Trinité-et-Tobago,TTO,"8,45",,,,
Tunisie,TUN,"66,84",,,,
Turquie,TUR,"73,4",,,,
Tuvalu,TUV,"59,72",,,,
Tanzanie,TZA,"31,61",,,,
Ouganda,UGA,"16,1",,,,
Ukraine,UKR,"69,7",,,,
"Revenu intermédiaire, tranche supérieure",UMC,"64,12",,,,
Uruguay,URY,"95,31",,,,
États-Unis,USA,"81,62",,,,
Ouzbékistan,UZB,"36,37",,,,
Saint-Vincent-et-les Grenadines,VCT,"50,55",,,,
Venezuela,VEN,"88,99",,,,
Îles Vierges britanniques,VGB,"46,19",,,,
Îles Vierges (EU),VIR,"95,34",,,,
Viet Nam,VNM,"33,59",,,,
Vanuatu,VUT,"26,13",,,,
Cisjordanie et Gaza,PSE,"75,25",,,,
Monde,WLD,"53,86",,,,
Samoa,WSM,"19,1",,,,
"Yémen, Rép. du",YEM,"34,61",,,,
Afrique du Sud,ZAF,"64,8",,,,
"Congo, République démocratique du",COD,"42,49",,,,
Zambie,ZMB,"40,92",,,,
Zimbabwe,ZWE,"32,38",,,,
,,,Tokyo,"35,69","139,69",38001
,,,Delhi,"28,67","77,22",25703
,,,Shanghai,"31,22","121,46",23741
,,,São Paulo,"-23,55","-46,64",21066
,,,Mumbai (Bombay),"19,07","72,88",21043
,,,Ciudad de México (Mexico City),"19,43","-99,14",20999
,,,Beijing,"39,91","116,4",20384
,,,Kinki M.M.A. (Osaka),"34,68","135,55",20238
,,,Al-Qahirah (Cairo),"30,04","31,24",18772
,,,New York-Newark,"40,72",-74,18593
,,,Dhaka,"23,71","90,41",17598
