ID,Name,TYPE IRIS,POP 2013,POP homme,POP femme,POP_inf19a,POP_20_64a,POP_sup65a,% homme,% femme,% inf19a,% 20_64a,% sup65a
751166213,MUETTE 13,H,2 293,1 045,1 249,458,1 324,512,"45,57","54,47","19,97","57,74","22,33"
751166126,AUTEUIL 26,H,2 459,1 030,1 429,420,1 395,644,"41,89","58,11","17,08","56,73","26,19"
751166208,MUETTE 8,H,2 488,1 177,1 311,557,1 363,568,"47,31","52,69","22,39","54,78","22,83"
751166301,PORTE DAUPHINE 1,H,2 352,1 059,1 293,587,1 277,488,"45,03","54,97","24,96","54,29","20,75"
751197519,AMERIQUE 19,H,2 341,1 047,1 293,655,1 385,300,"44,72","55,23","27,98","59,16","12,82"
751197506,AMERIQUE 6,H,1 930,978,953,288,1 398,244,"50,67","49,38","14,92","72,44","12,64"
751197514,AMERIQUE 14,H,3 188,1 553,1 635,781,1 947,460,"48,71","51,29","24,50","61,07","14,43"
751197611,COMBAT 11,H,3 229,1 483,1 747,700,1 964,565,"45,93","54,10","21,68","60,82","17,50"
751197511,AMERIQUE 11,H,2 052,916,1 136,404,1 431,218,"44,64","55,36","19,69","69,74","10,62"
751197409,PONT DE FLANDRE 9,H,2 380,1 081,1 299,602,1 311,466,"45,42","54,58","25,29","55,08","19,58"
751197488,CANAL ST-DENIS,D,0,0,0,0,0,0,,,,,
751197614,COMBAT 14,H,2 614,1 249,1 365,513,1 598,503,"47,78","52,22","19,63","61,13","19,24"
751197607,COMBAT 7,H,1 793,845,948,492,1 076,225,"47,13","52,87","27,44","60,01","12,55"
751197516,AMERIQUE 16,H,1 562,758,804,414,961,187,"48,53","51,47","26,50","61,52","11,97"
751197408,PONT DE FLANDRE 8,H,1 898,978,920,489,1 175,234,"51,53","48,47","25,76","61,91","12,33"
751197603,COMBAT 3,H,2 446,1 149,1 297,443,1 610,394,"46,97","53,03","18,11","65,82","16,11"
751197401,PONT DE FLANDRE 1,H,1 132,773,358,172,839,120,"68,29","31,63","15,19","74,12","10,60"
751197312,VILLETTE 12,H,2 189,1 091,1 098,494,1 409,285,"49,84","50,16","22,57","64,37","13,02"
751197606,COMBAT 6,H,1 936,940,996,405,1 210,321,"48,55","51,45","20,92","62,50","16,58"
751197522,AMERIQUE 22,H,3 075,1 440,1 635,574,2 066,436,"46,83","53,17","18,67","67,19","14,18"
751197609,COMBAT 9,H,3 153,1 491,1 662,580,2 108,465,"47,29","52,71","18,40","66,86","14,75"
751197314,VILLETTE 14,H,2 909,1 414,1 495,656,1 930,323,"48,61","51,39","22,55","66,35","11,10"
751197617,BUTTES CHAUMONT,D,0,0,0,0,0,0,,,,,
751197388,BASSIN DE LA VILLETTE,D,0,0,0,0,0,0,,,,,
751197507,AMERIQUE 7,H,2 071,992,1 079,341,1 461,270,"47,90","52,10","16,47","70,55","13,04"
751197317,VILLETTE 17,H,2 303,1 148,1 155,584,1 461,258,"49,85","50,15","25,36","63,44","11,20"
