ID,Name,Name alt,POP 2008,POP 2013,POP 2014,POP_15_19a,POP_20_24a,POP_25_39a,POP_40_54a,POP_55_64a,POP_65_79a,POP_sup80a,%_15_19,%_20_24,%_25_39,%_40_54,%_55_64,%_65_79,%_sup80
94058,Le Perreux-sur-Marne,Le Perreux-sur-Marne,32460,33758,33720,1890,1896,6586,7672,3832,3666,1711,5.6,5.62,19.51,22.73,11.35,10.86,05.07
94015,Bry-sur-Marne,Bry-sur-Marne,15534,16621,16542,1144,1002,3110,3527,1978,1574,787,6.88,06.03,18.71,21.22,11.9,9.47,4.73
94079,Villiers-sur-Marne,Villiers-sur-Marne,27592,28420,28278,1826,1864,5634,5998,3232,2569,976,6.43,6.56,19.82,21.1,11.37,09.04,3.43
94059,Le Plessis-Trévise,Le Plessis-Trévise,18549,19291,19732,1025,942,4074,4090,2195,2148,852,5.31,4.88,21.12,21.2,11.38,11.13,4.42
94034,Fresnes,Fresnes,25325,26844,26808,1459,1833,5458,5467,2447,1984,1099,5.44,6.83,20.33,20.37,9.12,7.39,04.09
94080,Vincennes,Vincennes,48714,50175,49136,2160,2800,13607,10047,5267,4757,2700,4.3,5.58,27.12,20.02,10.5,9.48,5.38
75101,1er,Paris 1er,17515,17165,16717,654,1379,4780,3554,1783,1953,942,3.81,08.03,27.85,20.7,10.39,11.38,5.49
75102,2ème,Paris 2ème,21914,21914,21263,853,2121,7558,4435,1901,1588,558,3.89,9.68,34.49,20.24,8.67,7.25,2.55
75103,3ème,Paris 3ème,34981,36380,35077,1396,3008,11173,7467,3822,3439,1082,3.84,8.27,30.71,20.53,10.51,9.45,2.97
75104,4ème,Paris 4ème,28254,27689,26796,1201,2551,7352,5420,3051,3232,1362,4.34,9.21,26.55,19.57,11.02,11.67,4.92
75105,5ème,Paris 5ème,63162,61267,60030,4096,7668,13852,10293,6387,7255,3189,6.69,12.52,22.61,16.8,10.42,11.84,5.21
75106,6ème,Paris 6ème,45365,44458,43134,3726,4337,8684,7230,5264,6139,2965,8.38,9.76,19.53,16.26,11.84,13.81,6.67
75107,7ème,Paris 7ème,57952,57372,55486,3291,5239,11216,10654,6968,7509,3648,5.74,9.13,19.55,18.57,12.15,13.09,6.36
75108,8ème,Paris 8ème,39022,39802,38257,2589,3579,8234,7971,4833,4119,1881,6.5,8.99,20.69,20.03,12.14,10.35,4.73
75109,9ème,Paris 9ème,59574,60170,59389,2719,4749,17911,12114,5772,5111,2169,4.52,7.89,29.77,20.13,9.59,8.49,3.6
75110,10ème,Paris 10ème,95345,93438,92228,3827,6998,29141,19366,8488,7043,2506,4.1,7.49,31.19,20.73,09.08,7.54,2.68
75111,11ème,Paris 11ème,153730,155267,151542,6400,13049,48840,29516,16167,14276,5749,4.12,8.4,31.46,19.01,10.41,9.19,3.7
75112,12ème,Paris 12ème,144803,146251,143922,6726,11052,38634,28343,16128,14244,7224,4.6,7.56,26.42,19.38,11.03,9.74,4.94
75113,13ème,Paris 13ème,181852,185489,182318,10511,16136,41043,35853,22101,20682,8113,5.67,8.7,22.13,19.33,11.91,11.15,4.37
75114,14ème,Paris 14ème,138005,142145,141230,6515,15371,33644,24841,15821,16017,6869,4.58,10.81,23.67,17.48,11.13,11.27,4.83
75115,15ème,Paris 15ème,237163,239535,235366,11768,20119,61907,44101,25950,26687,12473,4.91,8.4,25.84,18.41,10.83,11.14,5.21
75116,16ème,Paris 16ème,167396,169070,165745,10716,12479,29321,32549,20527,23020,13079,6.34,7.38,17.34,19.25,12.14,13.62,7.74
75117,17ème,Paris 17ème,168535,171906,170186,8613,13636,45767,33227,17898,16756,8117,05.01,7.93,26.62,19.33,10.41,9.75,4.72
75118,18ème,Paris 18ème,196975,200915,199135,8348,14951,60677,39534,20456,17682,6722,4.15,7.44,30.2,19.68,10.18,8.8,3.35
75119,19ème,Paris 19ème,187550,187550,187156,10680,13729,44151,37568,21152,17164,6355,5.69,7.32,23.54,20.03,11.28,9.15,3.39
75120,20ème,Paris 20ème,196479,196479,195468,9989,13971,48742,41055,22255,18601,6833,05.08,7.11,24.81,20.9,11.33,9.47,3.48
75116,16ème,Paris 16ème,167396,169070,165745,10716,12479,29321,32549,20527,23020,13079,6.34,7.38,17.34,19.25,12.14,13.62,7.74
75112,12ème,Paris 12ème,144803,146251,143922,6726,11052,38634,28343,16128,14244,7224,4.6,7.56,26.42,19.38,11.03,9.74,4.94
