ID,Census division,2011,2012,2013,2014,2015,2016,2017
3509,"Lanark, Ontario",67274,67357,67527,67860,68127,68665,69281
3510,"Frontenac, Ontario",154322,154983,155905,156920,158083,159678,161893
3511,"Lennox and Addington, Ontario",42872,43674,43634,43803,43931,43940,43986
3512,"Hastings, Ontario",138351,138267,138218,138079,138282,139268,140504
3513,"Prince Edward, Ontario",25804,25572,25552,25414,25365,25412,25491
3514,"Northumberland, Ontario",84060,84580,85148,85700,86453,87141,87900
3515,"Peterborough, Ontario",138494,138884,139544,139875,140365,141984,143801
3516,"Kawartha Lakes, Ontario",74942,75391,75502,75617,76155,76886,77661
3518,"Durham, Ontario",626765,636150,645037,653058,661752,671786,682378
3519,"York, Ontario",1065504,1086503,1105187,1123017,1135316,1149148,1164186
3520,"Toronto, Ontario",2704622,2742316,2779327,2806618,2825559,2871146,2929886
3521,"Peel, Ontario",1340528,1364811,1391278,1415068,1436227,1468667,1500633
3522,"Dufferin, Ontario",58528,58811,59509,60848,62535,64036,65614
3523,"Wellington, Ontario",214694,217389,218935,220999,223260,227147,231260
3524,"Halton, Ontario",517159,528567,539915,549565,558100,569371,581387
3525,"Hamilton, Ontario",535602,540879,546337,551170,554997,560965,567993
3526,"Niagara, Ontario",442803,444610,445770,447703,450102,454157,458986
3528,"Haldimand-Norfolk, Ontario",111848,111467,111409,111488,111785,112688,113670
3529,"Brant, Ontario",139939,141051,142350,143459,144737,146326,148195
3530,"Waterloo, Ontario",523753,529379,533696,537678,542061,550395,559714
3531,"Perth, Ontario",77127,77618,77932,78122,78204,78592,79037
3532,"Oxford, Ontario",108674,109837,110275,111209,111639,112905,114270
3534,"Elgin, Ontario",89843,90071,90266,90331,90672,91512,92428
3536,"Chatham-Kent, Ontario",106682,106270,106023,105883,105539,105686,105943
3537,"Essex, Ontario",399665,401294,401932,402932,404344,407801,412259
3538,"Lambton, Ontario",131356,131121,130658,130291,129914,130078,130447
3539,"Middlesex, Ontario",452845,457495,461496,465201,469367,476275,484474
3540,"Huron, Ontario",60522,59584,59409,59166,59131,59226,59344
3541,"Bruce, Ontario",67764,67933,68122,68268,68516,68937,69445
3542,"Grey, Ontario",94769,94932,95227,95220,95435,96301,97231
3543,"Simcoe, Ontario",458930,466059,472729,479605,486531,496375,506824
3544,"Muskoka, Ontario",61095,61460,61880,62210,62322,63116,64027
3546,"Haliburton, Ontario",17385,17710,17796,17917,18083,18309,18543
3547,"Renfrew, Ontario",104078,104412,104543,104769,104760,104927,105382
3548,"Nipissing, Ontario",87551,87605,87599,87703,87671,87591,87651
3549,"Parry Sound, Ontario",43154,43176,43040,42892,42773,42992,43279
3551,"Manitoulin, Ontario",13336,13476,13554,13473,13399,13409,13438
3552,"Sudbury, Ontario",21633,21403,21158,20812,20526,20172,19842
3553,"Greater Sudbury, Ontario",164853,165322,165645,165338,164996,164895,165030
3554,"Timiskaming, Ontario",33929,33773,33565,33344,33002,32740,32501
3556,"Cochrane, Ontario",83276,82845,82605,81977,81155,80487,79930
3557,"Algoma, Ontario",119344,118613,118023,117160,116539,116174,115971
3558,"Thunder Bay, Ontario",150016,150021,149941,149584,148756,148312,148100
3559,"Rainy River, Ontario",20877,20508,20297,20148,19933,19928,19973
3560,"Kenora, Ontario",69639,69902,70163,70256,70416,70732,71272
4601,"Division 1, Manitoba",17469,17222,17254,17209,17072,17135,17187
4602,"Division 2, Manitoba",66777,68738,70630,72406,74176,75857,77474
4603,"Division 3, Manitoba",52367,53380,54389,55053,56008,57079,58051
4604,"Division 4, Manitoba",9431,9505,9561,9569,9541,9600,9657
4605,"Division 5, Manitoba",13094,13217,13210,13246,13236,13385,13539
4606,"Division 6, Manitoba",10188,10315,10386,10409,10372,10404,10420
4607,"Division 7, Manitoba",65672,66522,67256,68109,68958,70396,71668
4608,"Division 8, Manitoba",14354,14452,14645,14717,14785,14837,14883
4609,"Division 9, Manitoba",23837,23775,23857,23938,24008,24327,24611
4610,"Division 10, Manitoba",10886,10973,11349,11642,11950,12161,12373
4611,"Division 11, Manitoba",681114,692602,701890,712650,722800,738985,753137
4612,"Division 12, Manitoba",22200,22615,22938,23254,23554,23749,23928
4613,"Division 13, Manitoba",48157,48773,49319,49607,49976,50453,50884
4614,"Division 14, Manitoba",18806,18940,19126,19362,19459,19528,19582
4615,"Division 15, Manitoba",21873,21619,21745,21711,21648,21625,21580
4616,"Division 16, Manitoba",10055,10061,9972,9912,9816,9745,9651
4617,"Division 17, Manitoba",22434,22198,22062,21789,21592,21500,21382
4618,"Division 18, Manitoba",23711,23651,23792,23613,23419,23604,23760
4619,"Division 19, Manitoba",17849,17989,18011,18129,18115,18114,18111
4620,"Division 20, Manitoba",10051,9866,9745,9566,9454,9370,9267
4621,"Division 21, Manitoba",21977,22007,21991,21938,21800,21829,21819
4622,"Division 22, Manitoba",42393,42652,43166,43739,44334,45001,45639
4623,"Division 23, Manitoba",9033,9193,9294,9344,9349,9431,9506
4701,"Division 1, Saskatchewan",32342,32660,33130,33413,33277,33152,32968
4702,"Division 2, Saskatchewan",22848,23218,23540,23805,23775,23904,23995
4703,"Division 3, Saskatchewan",12941,12784,12709,12671,12496,12478,12444
4704,"Division 4, Saskatchewan",11177,11204,11211,11157,11092,11223,11342
4705,"Division 5, Saskatchewan",32753,32448,32615,32452,32305,32141,31918
4706,"Division 6, Saskatchewan",245526,252637,258949,264545,268525,275300,281468
